Date;MGP-GAS
20161001;
20161002;15.63
20161003;
20161004;
20161005;
20161006;
20161007;17.1
20161008;
20161009;
20161010;17.85
20161011;18.175
20161012;17.85
20161013;
20161014;
20161015;17.5
20161016;17
20161017;
20161018;
20161019;18.5
20161020;
20161021;
20161022;
20161023;
20161024;
20161025;19.16
20161026;20
20161027;19.5
20161028;
20161029;18.3
20161030;
20161031;
20161101;
20161102;
20161103;
20161104;19.5
20161105;
20161106;18.2
20161107;20.8
20161108;
20161109;
20161110;
20161111;
20161112;19.377
20161113;18.9
20161114;19.4
20161115;20.212
20161116;22.726
20161117;22.516
20161118;20.02
20161119;
20161120;
20161121;
20161122;
20161123;18.5
20161124;18.6
20161125;
20161126;
20161127;18
20161128;
20161129;
20161130;
20161201;
20161202;
20161203;18.7
20161204;18.35
20161205;19.35
20161206;18.808
20161207;18.842
20161208;18.5
20161209;18.6
20161210;18.364
20161211;18.209
20161212;
20161213;19.915
20161214;20.132
20161215;19.769
20161216;19.873
20161217;19.505
20161218;19.2
20161219;21
20161220;22.298
20161221;20.825
20161222;21.603
20161223;20.922
20161224;19.645
20161225;18.475
20161226;18.543
20161227;
20161228;18.75
20161229;20.05
20161230;20.145
20161231;20.059
20170101;19.9
20170102;
20170103;21.767
20170104;20.603
20170105;21.307
20170106;21.074
20170107;21.5
20170108;20.793
20170109;24
20170110;25.512
20170111;31.526
20170112;32.262
20170113;24.929
20170114;23.026
20170115;23.513
20170116;27.451
20170117;22
20170118;23.011
20170119;22.628
20170120;22.05
20170121;21.74
20170122;21.274
20170123;22.351
20170124;22.712
20170125;22.375
20170126;22.339
20170127;22.135
20170128;21.022
20170129;21.475
20170130;21
20170131;22
20170201;23.359
20170202;23.95
20170203;23.646
20170204;22.662
20170205;22.129
20170206;23.05
20170207;22.617
20170208;22.089
20170209;21.613
20170210;21.696
20170211;20.721
20170212;20.338
20170213;21.063
20170214;
20170215;
20170216;
20170217;
20170218;
20170219;
20170220;
20170221;19.7
20170222;19.55
20170223;19.5
20170224;
20170225;19.2
20170226;
20170227;
20170228;
20170301;
20170302;18.861
20170303;
20170304;18.375
20170305;18.375
20170306;18.587
20170307;18.4
20170308;
20170309;
20170310;18.025
20170311;
20170312;
20170313;
20170314;
20170315;
20170316;17.97
20170317;17.7
20170318;17.493
20170319;17.405
20170320;
20170321;
20170322;17.475
20170323;
20170324;17.41
20170325;17.05
20170326;17
20170327;
20170328;
20170329;
20170330;17.1
20170331;17.069
20170401;16.917
20170402;16.955
20170403;17.6
20170404;
20170405;
20170406;18.368
20170407;18.346
20170408;17.95
20170409;17.95
20170410;
20170411;
20170412;17.525
20170413;17.65
20170414;17.65
20170415;17.662
20170416;17.516
20170417;17.5
20170418;
20170419;18.261
20170420;18.732
20170421;18.407
20170422;
20170423;
20170424;
20170425;18.592
20170426;
20170427;18.577
20170428;18.8
20170429;18.75
20170430;18.479
20170501;
20170502;
20170503;
20170504;18.891
20170505;18.5
20170506;17.979
20170507;17.951
20170508;18.2
20170509;18.216
20170510;18.125
20170511;18.155
20170512;18
20170513;
20170514;
20170515;17.975
20170516;
20170517;17.807
20170518;17.899
20170519;18
20170520;17.946
20170521;17.818
20170522;
20170523;17.947
20170524;18.184
20170525;18.15
20170526;17.957
20170527;17.975
20170528;17.893
20170529;
20170530;18.425
20170531;18.651
20170601;18.308
20170602;18.036
20170603;17.6
20170604;17.598
20170605;17.5
20170606;18.014
20170607;18.04
20170608;17.978
20170609;
20170610;18.093
20170611;18.089
20170612;18.283
20170613;18.169
20170614;17.925
20170615;17.95
20170616;17.816
20170617;17.719
20170618;17.433
20170619;17.843
20170620;18.046
20170621;18.142
20170622;18.195
20170623;18.175
20170624;18.053
20170625;17.918
20170626;18.16
20170627;18.209
20170628;18.246
20170629;18.353
20170630;18.4
20170701;17.866
20170702;15.949
20170703;17.85
20170704;17.839
20170705;18.15
20170706;18.29
20170707;18.188
20170708;17.224
20170709;17.115
20170710;18.517
20170711;
20170712;18.043
20170713;17.942
20170714;17.664
20170715;17.32
20170716;16.655
20170717;17.75
20170718;17.633
20170719;17.837
20170720;17.743
20170721;17.808
20170722;17.107
20170723;16.973
20170724;17.565
20170725;17.482
20170726;17.533
20170727;17.29
20170728;17.398
20170729;17.169
20170730;16.688
20170731;17.496
20170801;17.57
20170802;17.526
20170803;17.642
20170804;17.462
20170805;17.25
20170806;17.118
20170807;17.449
20170808;17.416
20170809;17.42
20170810;17.704
20170811;17.58
20170812;17.349
20170813;17.102
20170814;17.171
20170815;17
20170816;17.15
20170817;17.573
20170818;
20170819;17.513
20170820;17.326
20170821;17.884
20170822;18.209
20170823;18.247
20170824;18.552
20170825;18.663
20170826;18.547
20170827;18.479
20170828;18.905
20170829;18.963
20170830;18.51
20170831;18.632
20170901;18.519
20170902;18.251
20170903;17.535
20170904;18.215
20170905;18.32
20170906;18.734
20170907;18.982
20170908;18.813
