Date;PSV_DA [€/Smc]
01/01/2024;0.33334
02/01/2024;0.33632
03/01/2024;0.32180
04/01/2024;0.33859
05/01/2024;0.34949
06/01/2024;0.36061
07/01/2024;0.35985
08/01/2024;0.37522
09/01/2024;0.35205
10/01/2024;0.35432
11/01/2024;0.35808
12/01/2024;0.34682
13/01/2024;0.34357
14/01/2024;0.34204
15/01/2024;0.35007
16/01/2024;0.33801
17/01/2024;0.33605
18/01/2024;0.30587
19/01/2024;0.31023
20/01/2024;0.31333
21/01/2024;0.31508
22/01/2024;0.32267
23/01/2024;0.31420
24/01/2024;0.31363
25/01/2024;0.31457
26/01/2024;0.30784
27/01/2024;0.30068
28/01/2024;0.30034
29/01/2024;0.31917
30/01/2024;0.32398
01/02/2024;0.33471
02/02/2024;0.32871
03/02/2024;0.32248
04/02/2024;0.32225
05/02/2024;0.33221
06/02/2024;0.31886
07/02/2024;0.32270
08/02/2024;0.31218
09/02/2024;0.30397
10/02/2024;0.30343
11/02/2024;0.30339
12/02/2024;0.30551
13/02/2024;0.29430
14/02/2024;0.28895
15/02/2024;0.28370
16/02/2024;0.28515
17/02/2024;0.27793
18/02/2024;0.27744
19/02/2024;0.27896
20/02/2024;0.27445
21/02/2024;0.27737
22/02/2024;0.27699
23/02/2024;0.27312
24/02/2024;0.26759
25/02/2024;0.26888
26/02/2024;0.27305
27/02/2024;0.28133
28/02/2024;0.28641
01/03/2024;0.29329
02/03/2024;0.29108
03/03/2024;0.29236
04/03/2024;0.29767
05/03/2024;0.30953
06/03/2024;0.32355
07/03/2024;0.31654
08/03/2024;0.30776
09/03/2024;0.30538
10/03/2024;0.30632
11/03/2024;0.30972
12/03/2024;0.29968
13/03/2024;0.29297
14/03/2024;0.29720
15/03/2024;0.30237
16/03/2024;0.30896
17/03/2024;0.30887
18/03/2024;0.31352
19/03/2024;0.32915
20/03/2024;0.32849
21/03/2024;0.31584
22/03/2024;0.29644
23/03/2024;0.30004
24/03/2024;0.29955
25/03/2024;0.30723
26/03/2024;0.32547
27/03/2024;0.31732
28/03/2024;0.32035
29/03/2024;0.32459
30/03/2024;0.31369
01/04/2024;0.32598
02/04/2024;0.33557
03/04/2024;0.30668
04/04/2024;0.29817
05/04/2024;0.29949
06/04/2024;0.29165
07/04/2024;0.28994
08/04/2024;0.29340
09/04/2024;0.29689
10/04/2024;0.30589
11/04/2024;0.30368
12/04/2024;0.32072
13/04/2024;0.30989
14/04/2024;0.30855
15/04/2024;0.33210
16/04/2024;0.34424
17/04/2024;0.37339
18/04/2024;0.37284
19/04/2024;0.36825
20/04/2024;0.35517
21/04/2024;0.35516
22/04/2024;0.36552
23/04/2024;0.36207
24/04/2024;0.35678
25/04/2024;0.34081
26/04/2024;0.35377
27/04/2024;0.33501
28/04/2024;0.33182
29/04/2024;0.33381
01/05/2024;0.31853
02/05/2024;0.32112
03/05/2024;0.33670
04/05/2024;0.33654
05/05/2024;0.33466
06/05/2024;0.34225
07/05/2024;0.35939
08/05/2024;0.35337
09/05/2024;0.33686
10/05/2024;0.33648
11/05/2024;0.32441
12/05/2024;0.32366
13/05/2024;0.32950
14/05/2024;0.32965
15/05/2024;0.33624
16/05/2024;0.34095
17/05/2024;0.33887
18/05/2024;0.33780
19/05/2024;0.33773
20/05/2024;0.35019
21/05/2024;0.36941
22/05/2024;0.36944
23/05/2024;0.38267
24/05/2024;0.40029
25/05/2024;0.37878
26/05/2024;0.37172
27/05/2024;0.38963
28/05/2024;0.40341
29/05/2024;0.39230
01/06/2024;0.38094
02/06/2024;0.37938
03/06/2024;0.39183
04/06/2024;0.41519
05/06/2024;0.39503
06/06/2024;0.38246
07/06/2024;0.37547
08/06/2024;0.36137
09/06/2024;0.35988
10/06/2024;0.37494
11/06/2024;0.38344
12/06/2024;0.39129
13/06/2024;0.39507
14/06/2024;0.40438
15/06/2024;0.38544
16/06/2024;0.38377
17/06/2024;0.39735
18/06/2024;0.39421
19/06/2024;0.39447
20/06/2024;0.40150
21/06/2024;0.40042
22/06/2024;0.37589
23/06/2024;0.37543
24/06/2024;0.39763
25/06/2024;0.39323
26/06/2024;0.39896
27/06/2024;0.39835
28/06/2024;0.39447
29/06/2024;0.37801
01/07/2024;0.39089
02/07/2024;0.38811
03/07/2024;0.37952
04/07/2024;0.37174
05/07/2024;0.37478
06/07/2024;0.36417
07/07/2024;0.36182
08/07/2024;0.38260
09/07/2024;0.37678
10/07/2024;0.36694
11/07/2024;0.36562
12/07/2024;0.36687
13/07/2024;0.36302
14/07/2024;0.36394
15/07/2024;0.37614
16/07/2024;0.37139
17/07/2024;0.38657
18/07/2024;0.38389
19/07/2024;0.38128
20/07/2024;0.37596
21/07/2024;0.37031
22/07/2024;0.37728
23/07/2024;0.37474
24/07/2024;0.37278
25/07/2024;0.38136
26/07/2024;0.37351
27/07/2024;0.37444
28/07/2024;0.37369
29/07/2024;0.38241
30/07/2024;0.39302
01/08/2024;0.41338
02/08/2024;0.42250
03/08/2024;0.41300
04/08/2024;0.41423
05/08/2024;0.41956
06/08/2024;0.41040
07/08/2024;0.42300
08/08/2024;0.43594
09/08/2024;0.45143
10/08/2024;0.45151
11/08/2024;0.45200
12/08/2024;0.45158
13/08/2024;0.45676
14/08/2024;0.43992
15/08/2024;0.43343
16/08/2024;0.43759
17/08/2024;0.43094
18/08/2024;0.43006
19/08/2024;0.44086
20/08/2024;0.44304
21/08/2024;0.43560
22/08/2024;0.42239
23/08/2024;0.41259
24/08/2024;0.40628
25/08/2024;0.40649
26/08/2024;0.42396
27/08/2024;0.43437
28/08/2024;0.44911
29/08/2024;0.45551
30/08/2024;0.45202
01/09/2024;0.44391
02/09/2024;0.45763
03/09/2024;0.45974
04/09/2024;0.44996
05/09/2024;0.43647
